Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/q/api/saveentity,333,333,1200.0,19086.534828528525,1084.762399999999,120229.76830000001,4731.495495495496,3.001157691698176,3.001157691698176,1200,1300,1300,1300,120000,120000,120000,120000,120000,120000,120000
,Aggregated,333,333,1200.0,19086.534828528525,1084.762399999999,120229.76830000001,4731.495495495496,3.001157691698176,3.001157691698176,1200,1300,1300,1300,120000,120000,120000,120000,120000,120000,120000
